date,tariff,item,commodity,primary_class,railroad,origin,origin_city,origin_state,destination,destination_city,destination_state,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,car_volume_cubic_feet,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Edison, NE",Edison,NE,"Hanford, CA",Hanford,CA,1776.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.3874,59.0268,53.5495,0.0302
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Greenwood (Mendota), IL",Greenwood,IL,"Hereford, TX",Hereford,TX,935.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.0241,42.639,38.6824,0.0414
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Hancock, IA",Hancock,IA,"Plainview, TX",Plainview,TX,832.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,0,"286,000",>=5001,1.1755,48.3416,43.8559,0.0527
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Phelps (Rock Port), MO",Phelps,MO,"Clovis, NM",Clovis,NM,764.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.0847,44.5978,40.4595,0.053
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Phelps (Rock Port), MO",Phelps,MO,"Texas Gulf (Houston, TX)",Houston,TX,937.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.0191,42.4454,38.5068,0.0411
2023-05-15,4022,39013.0,Corn,N/A,BNSF,"Selby, SD",Selby,SD,"PNW (Seattle, WA)",Seattle,WA,1419.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.4076,58.935,53.4662,0.0377
2023-05-15,4022,39013.0,Corn,N/A,BNSF,"St. Cloud, MN",St. Cloud,MN,"PNW (Seattle, WA)",Seattle,WA,1666.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.4076,59.5482,54.0225,0.0324
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Waverly, IL",Waverly,IL,"Dexter, NM",Dexter,NM,1058.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,0,"286,000",>=5001,1.0544,44.136,40.0405,0.0378
2023-05-15,4032,1182.0,Corn,N/A,CPKC,"Delhi, LA",Delhi,LA,"Morton, MS",Morton,MS,120.0,Unit,100,,Railroad/Private,0,1,,>=5000,0.331,13.6485,12.382,0.1032
2023-05-15,4444,45646.0,Corn,N/A,CPKC,"Enderlin, ND",Enderlin,ND,"Kalama, WA",Kalama,WA,1617.0,Unit,110,110.0,Railroad/Private,0,1,,>=5000,1.311,57.8311,52.4648,0.0324
2023-05-15,4444,45558.0,Corn,N/A,CPKC,"Glenwood, MN",Glenwood,MN,"Boardman, OR",Boardman,OR,1556.0,Unit,110,110.0,Railroad/Private,0,1,,>=5000,1.3024,57.2587,51.9455,0.0334
